station,station_key,lat,lon,row_id,NLC,Station,En/Ex 2007,En/Ex 2008,En/Ex 2009,En/Ex 2010,En/Ex 2011,En/Ex 2012,En/Ex 2013,En/Ex 2014,En/Ex 2015,En/Ex 2016,En/Ex 2017,En/Ex 2018,En/Ex 2019,En/Ex 2020,En/Ex 2021,LINES,NETWORK,London Underground,Elizabeth Line,London Overground,DLR,Night Tube?,station_csv,borough,stop_name,stop_type,stop_distance,passengers_2017,passengers_2018,passengers_2019,passengers_2020,passengers_2021,num_lines,avg_passengers,covid_impact_pct,recovery_rate_pct,trend_slope,trend_category,cluster_id,cluster_name
Loughton,loughton,51.641512759080584,0.05531199715457037,128,636.0,Loughton,2466212.0,2663002.0,2672388.0,2764862.0,2999623.0,3016770.0,3166344.0,3255416.0,3272688.0,3448907.0,3412794.0,3301688.0,3473615.0,1747510.0,1606879.0,Central,London Underground,Yes,,,,Yes,Loughton,Loughton,Loughton Underground Station,MET,0.0001417438846528813,3412794.0,3301688.0,3473615.0,1747510.0,1606879.0,1,2708497.2,-49.69189158844604,-8.047507596523053,-516600.79999999993,Giảm mạnh,0,Ga ít khách
Maida Vale,maida vale,51.529760016810314,-0.18562590222991157,129,637.0,Maida Vale,3051129.0,3212250.0,3161346.0,3068287.0,2993997.0,3150688.0,3347805.0,3448597.0,3382758.0,3409091.0,3118278.0,3150058.0,3302961.0,1538572.0,1433954.0,Bakerloo,London Underground,Yes,,,,No,Maida Vale,London,Maida Vale Underground Station,MET,0.000133625191625747,3118278.0,3150058.0,3302961.0,1538572.0,1433954.0,1,2508764.6,-53.41840245767359,-6.799681782847991,-498013.4,Giảm mạnh,5,Ga trung bình
Manor House,manor house,51.570756005284366,-0.09571246670488136,130,638.0,Manor House,9296363.0,8650838.0,8830283.0,8833270.0,9214029.0,9234179.0,9259062.0,9392025.0,9275642.0,9122653.0,8214650.0,7827043.0,8554567.0,3599717.0,3593706.0,Piccadilly,London Underground,Yes,,,,Yes,Manor House,London,Manor House Underground Station,MET,0.0004062062696994523,8214650.0,7827043.0,8554567.0,3599717.0,3593706.0,1,6357936.6,-57.92052362206059,-0.1669853491260563,-1346921.4000000001,Giảm mạnh,5,Ga trung bình
Mansion House,mansion house,51.51202120095603,-0.09418713531293257,131,639.0,Mansion House,5109887.0,5320220.0,7034245.0,7199238.0,7416215.0,5645557.0,5769586.0,6195631.0,5561213.0,6136459.0,6140305.0,7106682.0,6789496.0,1067130.0,2088948.0,"Circle, District",London Underground,Yes,,,,No,Mansion House,City of London,Mansion House Underground Station,MET,0.00020216582475611104,6140305.0,7106682.0,6789496.0,1067130.0,2088948.0,2,4638512.2,-84.28263305553166,95.75384442382841,-1414226.6,Giảm mạnh,5,Ga trung bình
Marble Arch,marble arch,51.51354329318117,-0.15843804662658706,132,640.0,Marble Arch,14966834.0,16299987.999999998,16619129.999999998,17794335.0,16873081.0,15685686.0,16361602.999999998,16106113.0,15442682.0,14108617.0,13254257.0,12451407.0,12159194.0,3657164.0,5242933.0,Central,London Underground,Yes,,,,Yes,Marble Arch,London,Marble Arch Underground Station,MET,0.0005288102634640542,13254257.0,12451407.0,12159194.0,3657164.0,5242933.0,1,9352991.0,-69.92264454370907,43.360620415163226,-2481689.1,Giảm mạnh,5,Ga trung bình
Mile End,mile end,51.52509187183448,-0.03340417038110615,134,642.0,Mile End,12084543.0,13302852.0,13522044.0,13230676.0,14014809.0,14057083.0,14370438.0,15596293.0,16310716.0,15746922.0,14928464.0,14686759.0,14971042.0,6787729.0,6644477.0,"District, Hammersmith & City, Central",London Underground,Yes,,,,Yes,Mile End,London,Mile End Underground Station,MET,0.0002378450805758718,14928464.0,14686759.0,14971042.0,6787729.0,6644477.0,3,11603694.2,-54.66094477592141,-2.1104554999175718,-2446700.4,Giảm mạnh,3,Ga lớn
Mill Hill East,mill hill east,51.60825889523928,-0.2098944199460435,135,643.0,Mill Hill East,958106.0,1002002.0000000001,1042902.0,1047214.0000000001,1090284.0,1104434.0,1165330.0,1286493.0,1318158.0,1340993.0,1318680.0,1350943.0,1407857.0,813926.0,764644.0,Northern,London Underground,Yes,,,,No,Mill Hill East,London,Mill Hill East Underground Station,MET,9.597657200946955e-05,1318680.0,1350943.0,1407857.0,813926.0,764644.0,1,1131210.0,-42.18688403722821,-6.054850195226593,-164508.9,Giảm mạnh,2,Ga rất ít khách
Moor Park,moor park,51.62973109047762,-0.43266684860392074,137,646.0,Moor Park,734858.0,756467.0,771167.0,781118.0,824464.0,814953.0,824391.0,886420.0,886390.0,914852.0,897017.0,913450.0,932748.0,593315.0,463133.0,Metropolitan,London Underground,Yes,,,,No,Moor Park,Moor Park,Moor Park Underground Station,MET,0.00024157728666290542,897017.0,913450.0,932748.0,593315.0,463133.0,1,759932.6,-36.390643560747385,-21.941464483453142,-118790.30000000002,Giảm nhẹ,2,Ga rất ít khách
Moorgate,moorgate,51.51836724988462,-0.08900631501309116,136,645.0,Moorgate,21017118.0,22222955.0,21182382.0,21038801.0,21227293.0,20594422.0,21381249.2496,25895151.0,26062630.0,27565959.0,25828308.0,24646666.0,25050824.0,5839734.0,8789962.0,"Circle, Hammersmith & City, Metropolitan",London Underground,Yes,,,,No,Moorgate,City of London,Moorgate Underground Station,MET,0.0007103155457916637,25828308.0,24646666.0,25050824.0,5839734.0,8789962.0,3,18031098.8,-76.68845543763351,50.51990381753689,-5288362.4,Giảm mạnh,3,Ga lớn
Morden,morden,51.40233694076687,-0.1947907008345152,138,647.0,Morden,6281507.0,6650982.0,6981638.0,6756228.0,7195083.0,7276884.0,7696341.0,8617393.0,9275569.0,10056185.0,9872702.0,9689216.0,9815261.0,5488034.0,4421002.0,Northern,London Underground,Yes,,,,Yes,Morden,London,Morden Underground Station,MET,0.000200721173968228,9872702.0,9689216.0,9815261.0,5488034.0,4421002.0,1,7857243.0,-44.08672372543124,-19.442882460276305,-1510458.1999999997,Giảm mạnh,1,Ga nhỏ
